areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-10-26,25_29,1635,10234,271.4
E92000001,England,nation,2021-10-26,30_34,2173,13821,361.4
E92000001,England,nation,2021-10-26,35_39,2498,16825,450.1
E92000001,England,nation,2021-10-26,40_44,3228,21730,625.1
E92000001,England,nation,2021-10-26,45_49,2890,20144,553.6
E92000001,England,nation,2021-10-26,50_54,2549,17860,460.9
E92000001,England,nation,2021-10-26,55_59,2064,13894,369.3
E92000001,England,nation,2021-10-26,60+,4548,32459,237.6
E92000001,England,nation,2021-10-26,60_64,1483,10323,322.9
E92000001,England,nation,2021-10-26,65_69,1130,7769,279.0
E92000001,England,nation,2021-10-26,70_74,898,6592,234.2
E92000001,England,nation,2021-10-26,75_79,519,4064,202.2
E92000001,England,nation,2021-10-26,80_84,240,1829,126.2
E92000001,England,nation,2021-10-26,85_89,152,1096,123.8
E92000001,England,nation,2021-10-26,90+,126,786,150.8
E92000001,England,nation,2021-10-26,unassigned,16,78,
E92000001,England,nation,2021-10-25,00_04,781,4967,153.3
E92000001,England,nation,2021-10-25,00_59,33617,223291,520.6
E92000001,England,nation,2021-10-25,05_09,3218,22342,631.2
E92000001,England,nation,2021-10-25,10_14,6533,51009,1484.7
E92000001,England,nation,2021-10-25,15_19,3021,22083,708.7
E92000001,England,nation,2021-10-25,20_24,1224,7432,214.0
E92000001,England,nation,2021-10-25,25_29,1760,10255,271.9
E92000001,England,nation,2021-10-25,30_34,2307,13744,359.4
E92000001,England,nation,2021-10-25,35_39,2795,16981,454.3
E92000001,England,nation,2021-10-25,40_44,3523,22014,633.3
E92000001,England,nation,2021-10-25,45_49,3237,20521,564.0
E92000001,England,nation,2021-10-25,50_54,2872,18051,465.8
E92000001,England,nation,2021-10-25,55_59,2346,13892,369.3
